2017/05/05 08:41:23 AM LMA: (748.2324) Check-in: Requested next check-in: 2017-05-06 22:41:23.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/05 08:41:48 AM LMA: (748.2324) Check-in: Requested next check-in: 2017-05-06 22:41:47.000 UTC (31 hours, 59 minutes, 58 seconds)
2017/05/05 09:13:02 AM LMA: (748.2324) Check-in: Requested next check-in: 2017-05-06 23:13:02.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/05 12:32:31 AM LMA: (748.2324) Check-in: Requested next check-in: 2017-05-07 02:32:31.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/05 12:44:43 AM LMA: (748.2324) Check-in: Requested next check-in: 2017-05-07 02:44:43.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/09 07:53:48 AM LMA: (1456.2500) Check-in: Requested next check-in: 2017-05-10 21:53:46.000 UTC (31 hours, 59 minutes, 57 seconds)
2017/05/09 07:54:13 AM LMA: (1456.2500) Check-in: Requested next check-in: 2017-05-10 21:54:11.000 UTC (31 hours, 59 minutes, 57 seconds)
2017/05/09 09:09:54 AM LMA: (1456.2500) Check-in: Requested next check-in: 2017-05-10 23:09:54.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/09 11:54:00 AM LMA: (1456.2500) Check-in: Requested next check-in: 2017-05-11 01:54:00.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/09 01:02:27 PM LMA: (1456.2500) Check-in: Requested next check-in: 2017-05-11 03:02:27.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/09 02:09:27 PM LMA: (1456.2500) Check-in: Requested next check-in: 2017-05-11 04:09:27.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/09 02:37:11 PM LMA: (1456.2500) Check-in: Requested next check-in: 2017-05-11 04:37:11.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/10 08:26:33 AM LMA: (1832.2596) Check-in: Requested next check-in: 2017-05-11 22:26:33.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/10 08:28:15 AM LMA: (1832.2596) Check-in: Requested next check-in: 2017-05-11 22:28:15.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/10 08:38:24 AM LMA: (1832.2596) Check-in: Requested next check-in: 2017-05-11 22:38:24.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/10 09:53:08 AM LMA: (1832.2596) Check-in: Requested next check-in: 2017-05-11 23:53:08.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/10 10:45:12 AM LMA: (1832.2596) Check-in: Requested next check-in: 2017-05-12 00:45:12.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/10 11:58:47 AM LMA: (1832.2596) Check-in: Requested next check-in: 2017-05-12 01:58:47.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/10 12:51:39 AM LMA: (1832.2596) Check-in: Requested next check-in: 2017-05-12 02:51:39.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/10 02:11:56 PM LMA: (1832.2596) Check-in: Requested next check-in: 2017-05-12 04:11:56.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/10 02:14:15 PM LMA: (1832.2596) Check-in: Requested next check-in: 2017-05-12 04:14:15.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/11 08:32:38 AM LMA: (2020.2544) Check-in: Requested next check-in: 2017-05-12 22:32:38.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/11 08:33:09 AM LMA: (2020.2544) Check-in: Requested next check-in: 2017-05-12 22:33:09.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/11 09:11:00 AM LMA: (2020.2544) Check-in: Requested next check-in: 2017-05-12 23:11:00.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/11 12:27:59 AM LMA: (2020.2544) Check-in: Requested next check-in: 2017-05-13 02:27:59.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/11 12:39:33 AM LMA: (2020.2544) Check-in: Requested next check-in: 2017-05-13 02:39:33.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/11 12:52:17 AM LMA: (2020.2544) Check-in: Requested next check-in: 2017-05-13 02:52:17.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/11 12:57:13 AM LMA: (2020.2544) Check-in: Requested next check-in: 2017-05-13 02:57:13.000 UTC (31 hours, 59 minutes, 59 seconds)
2017/05/11 01:33:40 PM LMA: (2020.2544) Check-in: Requested next check-in: 2017-05-13 03:33:40.000 UTC (31 hours, 59 minutes, 59 seconds)
